"","Word","Lexeme","Person","Number","Tense","Voice","Mood"
"94","curreebaamus","currere","p1","pl","past","active","ind"
"95","curreebaatis","currere","p2","pl","past","active","ind"
"96","curreebant","currere","p3","pl","past","active","ind"
"97","vocaabar","vocare","p1","sg","past","passive","ind"
"98","vocaabaaris","vocare","p2","sg","past","passive","ind"
"99","vocaabaatur","vocare","p3","sg","past","passive","ind"
"100","vocaabaamur","vocare","p1","pl","past","passive","ind"
"101","vocaabaaminii","vocare","p2","pl","past","passive","ind"
"102","vocaabantur","vocare","p3","pl","past","passive","ind"
"103","clamaabar","clamare","p1","sg","past","passive","ind"
"104","clamaabaaris","clamare","p2","sg","past","passive","ind"
"105","clamaabaatur","clamare","p3","sg","past","passive","ind"
"106","clamaabaamur","clamare","p1","pl","past","passive","ind"
"107","clamaabaaminii","clamare","p2","pl","past","passive","ind"
"108","clamaabantur","clamare","p3","pl","past","passive","ind"
"109","terreebar","terrere","p1","sg","past","passive","ind"
"110","terreebaaris","terrere","p2","sg","past","passive","ind"
"111","terreebaatur","terrere","p3","sg","past","passive","ind"
"112","terreebaamur","terrere","p1","pl","past","passive","ind"
"113","terreebaaminii","terrere","p2","pl","past","passive","ind"
"114","terreebantur","terrere","p3","pl","past","passive","ind"
"115","doceebar","docere","p1","sg","past","passive","ind"
"116","doceebaaris","docere","p2","sg","past","passive","ind"
"117","doceebaatur","docere","p3","sg","past","passive","ind"
"118","doceebaamur","docere","p1","pl","past","passive","ind"
"119","doceebaaminii","docere","p2","pl","past","passive","ind"
"120","doceebantur","docere","p3","pl","past","passive","ind"
"121","audieebar","audire","p1","sg","past","passive","ind"
"122","audieebaaris","audire","p2","sg","past","passive","ind"
"123","audieebaatur","audire","p3","sg","past","passive","ind"
"124","audieebaamur","audire","p1","pl","past","passive","ind"
"125","audieebaaminii","audire","p2","pl","past","passive","ind"
"126","audieebantur","audire","p3","pl","past","passive","ind"
"127","sapieebar","sapire","p1","sg","past","passive","ind"
"128","sapieebaaris","sapire","p2","sg","past","passive","ind"
"129","sapieebaatur","sapire","p3","sg","past","passive","ind"
"130","sapieebaamur","sapire","p1","pl","past","passive","ind"
"131","sapieebaaminii","sapire","p2","pl","past","passive","ind"
"132","sapieebantur","sapire","p3","pl","past","passive","ind"
"133","carpeebar","carpere","p1","sg","past","passive","ind"
"134","carpeebaaris","carpere","p2","sg","past","passive","ind"
"135","carpeebaatur","carpere","p3","sg","past","passive","ind"
"136","carpeebaamur","carpere","p1","pl","past","passive","ind"
"137","carpeebaaminii","carpere","p2","pl","past","passive","ind"
"138","carpeebantur","carpere","p3","pl","past","passive","ind"
"139","curreebar","currere","p1","sg","past","passive","ind"
"140","curreebaaris","currere","p2","sg","past","passive","ind"
"141","curreebaatur","currere","p3","sg","past","passive","ind"
"142","curreebaamur","currere","p1","pl","past","passive","ind"
"143","curreebaaminii","currere","p2","pl","past","passive","ind"
"144","curreebantur","currere","p3","pl","past","passive","ind"
"145","vocaavii","vocare","p1","sg","perfect","active","ind"
"146","vocaavistii","vocare","p2","sg","perfect","active","ind"
"147","vocaavit","vocare","p3","sg","perfect","active","ind"
"148","vocaavimus","vocare","p1","pl","perfect","active","ind"
"149","vocaavistis","vocare","p2","pl","perfect","active","ind"
"150","vocaaveerunt","vocare","p3","pl","perfect","active","ind"
"151","clamaavii","clamare","p1","sg","perfect","active","ind"
"152","clamaavistii","clamare","p2","sg","perfect","active","ind"
"153","clamaavit","clamare","p3","sg","perfect","active","ind"
"154","clamaavimus","clamare","p1","pl","perfect","active","ind"
"155","clamaavistis","clamare","p2","pl","perfect","active","ind"
"156","clamaaveerunt","clamare","p3","pl","perfect","active","ind"
"157","terruii","terrere","p1","sg","perfect","active","ind"
"158","terruistii","terrere","p2","sg","perfect","active","ind"
"159","terruit","terrere","p3","sg","perfect","active","ind"
"160","terruimus","terrere","p1","pl","perfect","active","ind"
"161","terruistis","terrere","p2","pl","perfect","active","ind"
"162","terrueerunt","terrere","p3","pl","perfect","active","ind"
"163","docuii","docere","p1","sg","perfect","active","ind"
"164","docuistii","docere","p2","sg","perfect","active","ind"
"165","docuit","docere","p3","sg","perfect","active","ind"
"166","docuimus","docere","p1","pl","perfect","active","ind"
"167","docuistis","docere","p2","pl","perfect","active","ind"
"168","docueerunt","docere","p3","pl","perfect","active","ind"
"169","audiivii","audire","p1","sg","perfect","active","ind"
"170","audiivistii","audire","p2","sg","perfect","active","ind"
"171","audiivit","audire","p3","sg","perfect","active","ind"
"172","audiivimus","audire","p1","pl","perfect","active","ind"
"173","audiivistis","audire","p2","pl","perfect","active","ind"
"174","audiiveerunt","audire","p3","pl","perfect","active","ind"
"175","sapiivii","sapire","p1","sg","perfect","active","ind"
"176","sapiivistii","sapire","p2","sg","perfect","active","ind"
"177","sapiivit","sapire","p3","sg","perfect","active","ind"
"178","sapiivimus","sapire","p1","pl","perfect","active","ind"
"179","sapiivistis","sapire","p2","pl","perfect","active","ind"
"180","sapiiveerunt","sapire","p3","pl","perfect","active","ind"
"181","carpsii","carpere","p1","sg","perfect","active","ind"
"182","carpsistii","carpere","p2","sg","perfect","active","ind"
"183","carpsit","carpere","p3","sg","perfect","active","ind"
"184","carpsimus","carpere","p1","pl","perfect","active","ind"
"185","carpsistis","carpere","p2","pl","perfect","active","ind"
"186","carpseerunt","carpere","p3","pl","perfect","active","ind"
"187","cuccurii","currere","p1","sg","perfect","active","ind"
"188","cuccuristi","currere","p2","sg","perfect","active","ind"
"189","cuccurrit","currere","p3","sg","perfect","active","ind"
"190","cuccurimus","currere","p1","pl","perfect","active","ind"
"191","cuccuristis","currere","p2","pl","perfect","active","ind"
"192","cuccureerunt","currere","p3","pl","perfect","active","ind"
"193","vocor","vocare","p1","sg","present","passive","ind"
"194","vocaaris","vocare","p2","sg","present","passive","ind"
"195","vocaatur","vocare","p3","sg","present","passive","ind"
"196","vocaamur","vocare","p1","pl","present","passive","ind"
"197","vocaaminii","vocare","p2","pl","present","passive","ind"
"198","vocantur","vocare","p3","pl","present","passive","ind"
"199","clamor","clamare","p1","sg","present","passive","ind"
"200","clamaaris","clamare","p2","sg","present","passive","ind"
"201","clamaatur","clamare","p3","sg","present","passive","ind"
"202","clamaamur","clamare","p1","pl","present","passive","ind"
"203","clamaaminii","clamare","p2","pl","present","passive","ind"
"204","clamantur","clamare","p3","pl","present","passive","ind"
"205","terreor","terrere","p1","sg","present","passive","ind"
"206","terreeris","terrere","p2","sg","present","passive","ind"
"207","terreetur","terrere","p3","sg","present","passive","ind"
"208","terreemur","terrere","p1","pl","present","passive","ind"
"209","terreeminii","terrere","p2","pl","present","passive","ind"
"210","terrentur","terrere","p3","pl","present","passive","ind"
"211","doceor","docere","p1","sg","present","passive","ind"
"212","doceeris","docere","p2","sg","present","passive","ind"
"213","doceetur","docere","p3","sg","present","passive","ind"
"214","doceemur","docere","p1","pl","present","passive","ind"
"215","doceeminii","docere","p2","pl","present","passive","ind"
"216","docentur","docere","p3","pl","present","passive","ind"
"217","audior","audire","p1","sg","present","passive","ind"
"218","audiiris","audire","p2","sg","present","passive","ind"
"219","audiitur","audire","p3","sg","present","passive","ind"
"220","audiimur","audire","p1","pl","present","passive","ind"
"221","audiiminii","audire","p2","pl","present","passive","ind"
"222","audiuntur","audire","p3","pl","present","passive","ind"
"223","sapior","sapire","p1","sg","present","passive","ind"
"224","sapiiris","sapire","p2","sg","present","passive","ind"
"225","sapiitur","sapire","p3","sg","present","passive","ind"
"226","sapiimur","sapire","p1","pl","present","passive","ind"
"227","sapiiminii","sapire","p2","pl","present","passive","ind"
"228","sapiuntur","sapire","p3","pl","present","passive","ind"
"229","carpor","carpere","p1","sg","present","passive","ind"
"230","carperis","carpere","p2","sg","present","passive","ind"
"231","carpitur","carpere","p3","sg","present","passive","ind"
"232","carpimur","carpere","p1","pl","present","passive","ind"
"233","carpiminii","carpere","p2","pl","present","passive","ind"
"234","carpuntur","carpere","p3","pl","present","passive","ind"
"235","curror","currere","p1","sg","present","passive","ind"
"236","curreris","currere","p2","sg","present","passive","ind"
"237","curritur","currere","p3","sg","present","passive","ind"
"238","currimur","currere","p1","pl","present","passive","ind"
"239","curriminii","currere","p2","pl","present","passive","ind"
"240","curruntur","currere","p3","pl","present","passive","ind"
"241","vocaaboo","vocare","p1","sg","future","active","ind"
"242","vocaabis","vocare","p2","sg","future","active","ind"
"243","vocaabit","vocare","p3","sg","future","active","ind"
"244","vocaabimus","vocare","p1","pl","future","active","ind"
"245","vocaabitis","vocare","p2","pl","future","active","ind"
"246","vocaabunt","vocare","p3","pl","future","active","ind"
"247","clamaaboo","clamare","p1","sg","future","active","ind"
"248","clamaabis","clamare","p2","sg","future","active","ind"
"249","clamaabit","clamare","p3","sg","future","active","ind"
"250","clamaabimus","clamare","p1","pl","future","active","ind"
"251","clamaabitis","clamare","p2","pl","future","active","ind"
"252","clamaabunt","clamare","p3","pl","future","active","ind"
"253","terreeboo","terrere","p1","sg","future","active","ind"
"254","terreebis","terrere","p2","sg","future","active","ind"
"255","terreebit","terrere","p3","sg","future","active","ind"
"256","terreebimus","terrere","p1","pl","future","active","ind"
"257","terreebitis","terrere","p2","pl","future","active","ind"
"258","terreebunt","terrere","p3","pl","future","active","ind"
"259","doceeboo","docere","p1","sg","future","active","ind"
"260","doceebis","docere","p2","sg","future","active","ind"
"261","doceebit","docere","p3","sg","future","active","ind"
"262","doceebimus","docere","p1","pl","future","active","ind"
"263","doceebitis","docere","p2","pl","future","active","ind"
"264","doceebunt","docere","p3","pl","future","active","ind"
"265","audiam","audire","p1","sg","future","active","ind"
"266","audiees","audire","p2","sg","future","active","ind"
"267","audiet","audire","p3","sg","future","active","ind"
"268","audieemus","audire","p1","pl","future","active","ind"
"269","audieetis","audire","p2","pl","future","active","ind"
"270","audient","audire","p3","pl","future","active","ind"
"271","sapiam","sapire","p1","sg","future","active","ind"
"272","sapiees","sapire","p2","sg","future","active","ind"
"273","sapiet","sapire","p3","sg","future","active","ind"
"274","sapieemus","sapire","p1","pl","future","active","ind"
"275","sapieetis","sapire","p2","pl","future","active","ind"
"276","sapient","sapire","p3","pl","future","active","ind"
"277","carpam","carpere","p1","sg","future","active","ind"
"278","carpees","carpere","p2","sg","future","active","ind"
"279","carpet","carpere","p3","sg","future","active","ind"
"280","carpeemus","carpere","p1","pl","future","active","ind"
"281","carpeetis","carpere","p2","pl","future","active","ind"
"282","carpent","carpere","p3","pl","future","active","ind"
"283","curram","currere","p1","sg","future","active","ind"
"284","currees","currere","p2","sg","future","active","ind"
"285","curret","currere","p3","sg","future","active","ind"
"286","curreemus","currere","p1","pl","future","active","ind"
"287","curreetis","currere","p2","pl","future","active","ind"
"288","current","currere","p3","pl","future","active","ind"
"289","vocaabor","vocare","p1","sg","future","passive","ind"
"290","vocaaberis","vocare","p2","sg","future","passive","ind"
"291","vocaabitur","vocare","p3","sg","future","passive","ind"
"292","vocaabimur","vocare","p1","pl","future","passive","ind"
"293","vocaabiminii","vocare","p2","pl","future","passive","ind"
"294","vocaabuntur","vocare","p3","pl","future","passive","ind"
"295","clamaabor","clamare","p1","sg","future","passive","ind"
"296","clamaaberis","clamare","p2","sg","future","passive","ind"
"297","clamaabitur","clamare","p3","sg","future","passive","ind"
"298","clamaabimur","clamare","p1","pl","future","passive","ind"
"299","clamaabiminii","clamare","p2","pl","future","passive","ind"
"300","clamaabuntur","clamare","p3","pl","future","passive","ind"
"301","terreebor","terrere","p1","sg","future","passive","ind"
"302","terreeberis","terrere","p2","sg","future","passive","ind"
"303","terreebitur","terrere","p3","sg","future","passive","ind"
"304","terreebimur","terrere","p1","pl","future","passive","ind"
"305","terreebiminii","terrere","p2","pl","future","passive","ind"
"306","terreebuntur","terrere","p3","pl","future","passive","ind"
"307","doceebor","docere","p1","sg","future","passive","ind"
"308","doceeberis","docere","p2","sg","future","passive","ind"
"309","doceebitur","docere","p3","sg","future","passive","ind"
"310","doceebimur","docere","p1","pl","future","passive","ind"
"311","doceebiminii","docere","p2","pl","future","passive","ind"
"312","doceebuntur","docere","p3","pl","future","passive","ind"
"313","audiar","audire","p1","sg","future","passive","ind"
"314","audieeris","audire","p2","sg","future","passive","ind"
"315","audieetur","audire","p3","sg","future","passive","ind"
"316","audieemur","audire","p1","pl","future","passive","ind"
"317","audieeminii","audire","p2","pl","future","passive","ind"
"318","audientur","audire","p3","pl","future","passive","ind"
"319","sapiar","sapire","p1","sg","future","passive","ind"
"320","sapieeris","sapire","p2","sg","future","passive","ind"
"321","sapieetur","sapire","p3","sg","future","passive","ind"
"322","sapieemur","sapire","p1","pl","future","passive","ind"
"323","sapieeminii","sapire","p2","pl","future","passive","ind"
"324","sapientur","sapire","p3","pl","future","passive","ind"
"325","carpar","carpere","p1","sg","future","passive","ind"
"326","carpeeris","carpere","p2","sg","future","passive","ind"
"327","carpeetur","carpere","p3","sg","future","passive","ind"
"328","carpeemur","carpere","p1","pl","future","passive","ind"
"329","carpeeminii","carpere","p2","pl","future","passive","ind"
"330","carpentur","carpere","p3","pl","future","passive","ind"
"331","currar","currere","p1","sg","future","passive","ind"
"332","curreeris","currere","p2","sg","future","passive","ind"
"333","curreetur","currere","p3","sg","future","passive","ind"
"334","curreemur","currere","p1","pl","future","passive","ind"
"335","curreeminii","currere","p2","pl","future","passive","ind"
"336","currentur","currere","p3","pl","future","passive","ind"
"337","vocem","vocare","p1","sg","present","active","subj"
"338","vocees","vocare","p2","sg","present","active","subj"
"339","vocet","vocare","p3","sg","present","active","subj"
"340","voceemus","vocare","p1","pl","present","active","subj"
"341","voceetis","vocare","p2","pl","present","active","subj"
"342","vocent","vocare","p3","pl","present","active","subj"
"343","clamem","clamare","p1","sg","present","active","subj"
"344","clamees","clamare","p2","sg","present","active","subj"
"345","clamet","clamare","p3","sg","present","active","subj"
"346","clameemus","clamare","p1","pl","present","active","subj"
"347","clameetis","clamare","p2","pl","present","active","subj"
"348","clament","clamare","p3","pl","present","active","subj"
"349","terream","terrere","p1","sg","present","active","subj"
"350","terreaas","terrere","p2","sg","present","active","subj"
"351","terreat","terrere","p3","sg","present","active","subj"
"352","terreaamus","terrere","p1","pl","present","active","subj"
"353","terreaatis","terrere","p2","pl","present","active","subj"
"354","terreant","terrere","p3","pl","present","active","subj"
"355","doceam","docere","p1","sg","present","active","subj"
"356","doceaas","docere","p2","sg","present","active","subj"
"357","doceat","docere","p3","sg","present","active","subj"
"358","doceaamus","docere","p1","pl","present","active","subj"
"359","doceaatis","docere","p2","pl","present","active","subj"
"360","doceant","docere","p3","pl","present","active","subj"
"361","audiam","audire","p1","sg","present","active","subj"
"362","audiaas","audire","p2","sg","present","active","subj"
"363","audiat","audire","p3","sg","present","active","subj"
"364","audiaamus","audire","p1","pl","present","active","subj"
"365","audiaatis","audire","p2","pl","present","active","subj"
"366","audiant","audire","p3","pl","present","active","subj"
"367","sapiam","sapire","p1","sg","present","active","subj"
"368","sapiaas","sapire","p2","sg","present","active","subj"
"369","sapiat","sapire","p3","sg","present","active","subj"
"370","sapiaamus","sapire","p1","pl","present","active","subj"
"371","sapiaatis","sapire","p2","pl","present","active","subj"
"372","sapiant","sapire","p3","pl","present","active","subj"
"373","carpiam","carpere","p1","sg","present","active","subj"
"374","carpis","carpere","p2","sg","present","active","subj"
"375","carpiat","carpere","p3","sg","present","active","subj"
"376","carpiaamus","carpere","p1","pl","present","active","subj"
"377","carpiaatis","carpere","p2","pl","present","active","subj"
"378","carpiant","carpere","p3","pl","present","active","subj"
"379","curriam","currere","p1","sg","present","active","subj"
"380","curris","currere","p2","sg","present","active","subj"
"381","curriat","currere","p3","sg","present","active","subj"
"382","curriaamus","currere","p1","pl","present","active","subj"
"383","curriaatis","currere","p2","pl","present","active","subj"
"384","curriant","currere","p3","pl","present","active","subj"
"385","vocer","vocare","p1","sg","present","passive","subj"
"386","voceeris","vocare","p2","sg","present","passive","subj"
"387","voceetur","vocare","p3","sg","present","passive","subj"
"388","voceemur","vocare","p1","pl","present","passive","subj"
"389","voceeminii","vocare","p2","pl","present","passive","subj"
"390","vocentur","vocare","p3","pl","present","passive","subj"
"391","clamer","clamare","p1","sg","present","passive","subj"
"392","clameeris","clamare","p2","sg","present","passive","subj"
"393","clameetur","clamare","p3","sg","present","passive","subj"
"394","clameemur","clamare","p1","pl","present","passive","subj"
"395","clameeminii","clamare","p2","pl","present","passive","subj"
"396","clamentur","clamare","p3","pl","present","passive","subj"
"397","terrear","terrere","p1","sg","present","passive","subj"
"398","terreaaris","terrere","p2","sg","present","passive","subj"
"399","terreaatur","terrere","p3","sg","present","passive","subj"
"400","terreaamur","terrere","p1","pl","present","passive","subj"
"401","terreaaminii","terrere","p2","pl","present","passive","subj"
"402","terreantur","terrere","p3","pl","present","passive","subj"
"403","docear","docere","p1","sg","present","passive","subj"
"404","doceaaris","docere","p2","sg","present","passive","subj"
"405","doceaatur","docere","p3","sg","present","passive","subj"
"406","doceaamur","docere","p1","pl","present","passive","subj"
"407","doceaaminii","docere","p2","pl","present","passive","subj"
"408","doceantur","docere","p3","pl","present","passive","subj"
"409","audiar","audire","p1","sg","present","passive","subj"
"410","audiaaris","audire","p2","sg","present","passive","subj"
"411","audiaatur","audire","p3","sg","present","passive","subj"
"412","audiaamur","audire","p1","pl","present","passive","subj"
"413","audiaaminii","audire","p2","pl","present","passive","subj"
"414","audiantur","audire","p3","pl","present","passive","subj"
"415","sapiar","sapire","p1","sg","present","passive","subj"
"416","sapiaasis","sapire","p2","sg","present","passive","subj"
"417","sapiaatur","sapire","p3","sg","present","passive","subj"
"418","sapiaamur","sapire","p1","pl","present","passive","subj"
"419","sapiaaminii","sapire","p2","pl","present","passive","subj"
"420","sapiantur","sapire","p3","pl","present","passive","subj"
"421","carpiar","carpere","p1","sg","present","passive","subj"
"422","carpaaris","carpere","p2","sg","present","passive","subj"
"423","carpiatur","carpere","p3","sg","present","passive","subj"
"424","carpiaamur","carpere","p1","pl","present","passive","subj"
"425","carpiaaminii","carpere","p2","pl","present","passive","subj"
"426","carpiantur","carpere","p3","pl","present","passive","subj"
"427","curriar","currere","p1","sg","present","passive","subj"
"428","curraaris","currere","p2","sg","present","passive","subj"
"429","curriaatur","currere","p3","sg","present","passive","subj"
"430","curriaamur","currere","p1","pl","present","passive","subj"
"431","curriaaminii","currere","p2","pl","present","passive","subj"
"432","curriantur","currere","p3","pl","present","passive","subj"
"433","vocaarem","vocare","p1","sg","past","active","subj"
"434","vocaarees","vocare","p2","sg","past","active","subj"
"435","vocaaret","vocare","p3","sg","past","active","subj"
"436","vocaareemus","vocare","p1","pl","past","active","subj"
"437","vocaareetis","vocare","p2","pl","past","active","subj"
"438","vocaarent","vocare","p3","pl","past","active","subj"
"439","clamaarem","clamare","p1","sg","past","active","subj"
"440","clamaarees","clamare","p2","sg","past","active","subj"
"441","clamaaret","clamare","p3","sg","past","active","subj"
"442","clamaareemus","clamare","p1","pl","past","active","subj"
"443","clamaareetis","clamare","p2","pl","past","active","subj"
"444","clamaarent","clamare","p3","pl","past","active","subj"
"445","terreerem","terrere","p1","sg","past","active","subj"
"446","terreerees","terrere","p2","sg","past","active","subj"
"447","terreeret","terrere","p3","sg","past","active","subj"
"448","terreereemus","terrere","p1","pl","past","active","subj"
"449","terreereetis","terrere","p2","pl","past","active","subj"
"450","terreerent","terrere","p3","pl","past","active","subj"
"451","doceerem","docere","p1","sg","past","active","subj"
"452","doceerees","docere","p2","sg","past","active","subj"
"453","doceeret","docere","p3","sg","past","active","subj"
"454","doceereemus","docere","p1","pl","past","active","subj"
"455","doceereetis","docere","p2","pl","past","active","subj"
"456","doceerent","docere","p3","pl","past","active","subj"
"457","audiirem","audire","p1","sg","past","active","subj"
"458","audiirees","audire","p2","sg","past","active","subj"
"459","audiiret","audire","p3","sg","past","active","subj"
"460","audiireemus","audire","p1","pl","past","active","subj"
"461","audiireetis","audire","p2","pl","past","active","subj"
"462","audiirent","audire","p3","pl","past","active","subj"
"463","sapiirem","sapire","p1","sg","past","active","subj"
"464","sapiirees","sapire","p2","sg","past","active","subj"
"465","sapiiret","sapire","p3","sg","past","active","subj"
"466","sapiireemus","sapire","p1","pl","past","active","subj"
"467","sapiireetis","sapire","p2","pl","past","active","subj"
"468","sapiirent","sapire","p3","pl","past","active","subj"
"469","carperem","carpere","p1","sg","past","active","subj"
"470","carperees","carpere","p2","sg","past","active","subj"
"471","carperet","carpere","p3","sg","past","active","subj"
"472","carpereemus","carpere","p1","pl","past","active","subj"
"473","carpereetis","carpere","p2","pl","past","active","subj"
"474","carperent","carpere","p3","pl","past","active","subj"
"475","currerem","currere","p1","sg","past","active","subj"
"476","currerees","currere","p2","sg","past","active","subj"
"477","curreret","currere","p3","sg","past","active","subj"
"478","currereemus","currere","p1","pl","past","active","subj"
"479","currereetis","currere","p2","pl","past","active","subj"
"480","currerent","currere","p3","pl","past","active","subj"
"481","vocaarer","vocare","p1","sg","past","passive","subj"
"482","vocaareeris","vocare","p2","sg","past","passive","subj"
"483","vocaareetur","vocare","p3","sg","past","passive","subj"
"484","vocaareemur","vocare","p1","pl","past","passive","subj"
"485","vocaareeminii","vocare","p2","pl","past","passive","subj"
"486","vocaarentur","vocare","p3","pl","past","passive","subj"
"487","clamaarer","clamare","p1","sg","past","passive","subj"
"488","clamaareeris","clamare","p2","sg","past","passive","subj"
"489","clamaareetur","clamare","p3","sg","past","passive","subj"
"490","clamaareemur","clamare","p1","pl","past","passive","subj"
"491","clamaareeminii","clamare","p2","pl","past","passive","subj"
"492","clamaarentur","clamare","p3","pl","past","passive","subj"
"493","terreerer","terrere","p1","sg","past","passive","subj"
"494","terreereeris","terrere","p2","sg","past","passive","subj"
"495","terreereetur","terrere","p3","sg","past","passive","subj"
"496","terreereemur","terrere","p1","pl","past","passive","subj"
"497","terreereeminii","terrere","p2","pl","past","passive","subj"
"498","terreerentur","terrere","p3","pl","past","passive","subj"
"499","doceerer","docere","p1","sg","past","passive","subj"
"500","doceereeris","docere","p2","sg","past","passive","subj"
"501","doceereetur","docere","p3","sg","past","passive","subj"
"502","doceereemur","docere","p1","pl","past","passive","subj"
"503","doceereeminii","docere","p2","pl","past","passive","subj"
"504","doceerentur","docere","p3","pl","past","passive","subj"
"505","audiirer","audire","p1","sg","past","passive","subj"
"506","audiireeris","audire","p2","sg","past","passive","subj"
"507","audiireetur","audire","p3","sg","past","passive","subj"
"508","audiireemur","audire","p1","pl","past","passive","subj"
"509","audiireeminii","audire","p2","pl","past","passive","subj"
"510","audiirentur","audire","p3","pl","past","passive","subj"
"511","sapiirer","sapire","p1","sg","past","passive","subj"
"512","sapiireeris","sapire","p2","sg","past","passive","subj"
"513","sapiireetur","sapire","p3","sg","past","passive","subj"
"514","sapiireemur","sapire","p1","pl","past","passive","subj"
"515","sapiireeminii","sapire","p2","pl","past","passive","subj"
"516","sapiirentur","sapire","p3","pl","past","passive","subj"
