"","Orthography","Lexeme","Tense","Aspect","Person","Number","Gender","Class","Mood","Phon","Phon2","Syllables"
"35","il a abandonné","abandonner","present","perfect","p3","singular","masculin","action","indicative","ila_ab@done","ilaab@done","i-la-a-b@-do-ne"
"36","elle a abandonné","abandonner","present","perfect","p3","singular","feminin","action","indicative","Ela_ab@done","Elaab@done","E-la-a-b@-do-ne"
"37","nous avons abandonné","abandonner","present","perfect","p1","plural","common","action","indicative","nusav§_ab@done","nusav§ab@done","nu-sa-v§-a-b@-do-ne"
"38","vous avez abandonné","abandonner","present","perfect","p2","plural","common","action","indicative","vusave_ab@done","vusaveab@done","vu-sa-ve-a-b@-do-ne"
"39","ils ont abandonné","abandonner","present","perfect","p3","plural","masculin","action","indicative","ils§_ab@done","ils§ab@done","il-s§-a-b@-do-ne"
"40","elles ont abandonné","abandonner","present","perfect","p3","plural","feminin","action","indicative","Els§_ab@done","Els§ab@done","El-s§-a-b@-do-ne"
"41","j'avais abandonné","abandonner","past","perfect","p1","singular","common","action","indicative","ZavE_ab@done","ZavEab@done","Za-vE-a-b@-do-ne"
"42","tu avais abandonné","abandonner","past","perfect","p2","singular","common","action","indicative","tyavE_ab@done","tyavEab@done","ty-a-vE-a-b@-do-ne"
"43","il avait abandonné","abandonner","past","perfect","p3","singular","masculin","action","indicative","ilavE_ab@done","ilavEab@done","i-la-vE-a-b@-do-ne"
"44","elle avait abandonné","abandonner","past","perfect","p3","singular","feminin","action","indicative","elavE_ab@done","elavEab@done","e-la-vE-a-b@-do-ne"
"45","nous avions abandonné","abandonner","past","perfect","p1","plural","common","action","indicative","nusavj§_ab@done","nusavj§ab@done","nu-sav-j§-a-b@-do-ne"
"46","vous aviez abandonné","abandonner","past","perfect","p2","plural","common","action","indicative","vusavje_ab@done","vusavjeab@done","vu-sav-je-a-b@-do-ne"
"47","ils avaient abandonné","abandonner","past","perfect","p3","plural","masculin","action","indicative","ilsavE_ab@done","ilsavEab@done","il-sa-vE-a-b@-do-ne"
"48","elles avaient abandonné","abandonner","past","perfect","p3","plural","feminin","action","indicative","ElsavE_ab@done","ElsavEab@done","El-sa-vE-a-b@-do-ne"
"49","que j'abandonne","abandonner","present",NA,"p1","singular","common","action","subjunctive","k2-Z_ab@dOn","k2Zab@dOn","k2-Za-b@-dOn"
"50","que tu abandonnes","abandonner","present",NA,"p2","singular","common","action","subjunctive","k2-ty_ab@dOn","k2tyab@dOn","k2-ty-a-b@-dOn"
"51","qu'il abandonne","abandonner","present",NA,"p3","singular","masculin","action","subjunctive","kil_ab@dOn","kilab@dOn","ki-la-b@-dOn"
"52","qu'elle abandonne","abandonner","present",NA,"p3","singular","feminin","action","subjunctive","kEl_ab@dOn","kElab@dOn","kE-la-b@-dOn"
"53","que nous abandonnions","abandonner","present",NA,"p1","plural","common","action","subjunctive","k2-nus_ab@donj§","k2nusab@donj§","k2-nu-sa-b@-don-j§"
"54","que vous abandonniez","abandonner","present",NA,"p2","plural","common","action","subjunctive","k2-vus_ab@donje","k2vusab@donje","k2-vu-sa-b@-don-je"
"55","qu'ils abandonnent","abandonner","present",NA,"p3","plural","masculin","action","subjunctive","kils_ab@dOn","kilsab@dOn","kil-sa-b@-dOn"
"56","qu'elles abandonnent","abandonner","present",NA,"p3","plural","feminin","action","subjunctive","kEls_ab@dOn","kElsab@dOn","kEl-sa-b@-dOn"
"57","que j'abandonnasse","abandonner","past","imperfective","p1","singular","common","action","subjunctive","k2-Z_ab@dOnas","k2Zab@dOnas","k2-Za-b@-dO-nas"
"58","que tu abandonnasses","abandonner","past","imperfective","p2","singular","common","action","subjunctive","k2-ty_ab@dOnas","k2tyab@dOnas","k2-ty-a-b@-dO-nas"
"59","qu'il abandonnât","abandonner","past","imperfective","p3","singular","masculin","action","subjunctive","kil_ab@dona","kilab@dona","ki-la-b@-do-na"
"60","qu'elle abandonnât","abandonner","past","imperfective","p3","singular","feminin","action","subjunctive","kEl_ab@dona","kElab@dona","kE-la-b@-do-na"
"61","que nous abandonnassions","abandonner","past","imperfective","p1","plural","common","action","subjunctive","k2-nus_ab@dOnas","k2nusab@dOnas","k2-nu-sa-b@-dO-nas"
"62","que vous abandonnassiez","abandonner","past","imperfective","p2","plural","common","action","subjunctive","k2-vus_ab@dOnas","k2vusab@dOnas","k2-vu-sa-b@-dO-nas"
"63","qu'ils abandonnassent","abandonner","past","imperfective","p3","plural","masculin","action","subjunctive","kils_ab@dOnas","kilsab@dOnas","kil-sa-b@-dO-nas"
"64","qu'elles abandonnassent","abandonner","past","imperfective","p3","plural","feminin","action","subjunctive","kEls_ab@dOnas","kElsab@dOnas","kEl-sa-b@-dO-nas"
"65","que j'aie abandonné","abandonner","past",NA,"p1","singular","common","action","subjunctive","k2-ZE_ab@done","k2ZEab@done","k2-ZE-a-b@-do-ne"
"66","que tu aies abandonné","abandonner","past",NA,"p2","singular","common","action","subjunctive","k2-ty-E_ab@done","k2tyEab@done","k2-ty-E-a-b@-do-ne"
"67","qu'il ait abandonné","abandonner","past",NA,"p3","singular","masculin","action","subjunctive","kilE_ab@done","kilEab@done","ki-lE-a-b@-do-ne"
"68","qu'elle ait abandonné","abandonner","past",NA,"p3","singular","feminin","action","subjunctive","kelE_ab@done","kelEab@done","ke-lE-a-b@-do-ne"
"69","que nous ayons abandonné","abandonner","past",NA,"p1","plural","common","action","subjunctive","k2-nusEj§_ab@done","k2nusEj§ab@done","k2-nu-sE-j§-a-b@-do-ne"
"70","que vous ayez abandonné","abandonner","past",NA,"p2","plural","common","action","subjunctive","k2-vusEje_ab@done","k2vusEjeab@done","k2-vu-sE-je-a-b@-do-ne"
"71","qu'ils aient abandonné","abandonner","past",NA,"p3","plural","masculin","action","subjunctive","kilsE_ab@done","kilsEab@done","kil-sE-a-b@-do-ne"
"72","qu'elles aient abandonné","abandonner","past",NA,"p3","plural","feminin","action","subjunctive","kElsE_ab@done","kElsEab@done","kEl-sE-a-b@-do-ne"
"73","que j'eusse abandonné","abandonner","past","perfect","p1","singular","common","action","subjunctive","k2-Zys_ab@done","k2Zysab@done","k2-Zy-sa-b@-do-ne"
"74","que tu eusses abandonné","abandonner","past","perfect","p2","singular","common","action","subjunctive","k2-ty-ys_ab@done","k2tyysab@done","k2-ty-y-sa-b@-do-ne"
"75","qu'il eût abandonné","abandonner","past","perfect","p3","singular","masculin","action","subjunctive","kily_ab@done","kilyab@done","ki-ly-a-b@-do-ne"
"76","qu'elle eût abandonné","abandonner","past","perfect","p3","singular","feminin","action","subjunctive","kEly_ab@done","kElyab@done","kE-ly-a-b@-do-ne"
"77","que nous eussions abandonné","abandonner","past","perfect","p1","plural","common","action","subjunctive","k2-nusysj§_ab@done","k2nusysj§ab@done","k2-nu-sys-j§-a-b@-do-ne"
"78","que vous eussiez abandonné","abandonner","past","perfect","p2","plural","common","action","subjunctive","k2-vusysje_ab@done","k2vusysjeab@done","k2-vu-sys-je-a-b@-do-ne"
"79","qu'ils eussent abandonné","abandonner","past","perfect","p3","plural","masculin","action","subjunctive","kilsys_ab@done","kilsysab@done","kil-sy-sa-b@-do-ne"
"80","qu'elles eussent abandonné","abandonner","past","perfect","p3","plural","feminin","action","subjunctive","kElsys_ab@done","kElsysab@done","kEl-sy-sa-b@-do-ne"
"81","j'accepte","accepter","present",NA,"p1","singular","common","action","indicative","Z_aksEpt","ZaksEpt","Zak-sE-pt"
"82","tu acceptes","accepter","present",NA,"p2","singular","common","action","indicative","ty_aksEpt","tyaksEpt","ty-ak-sE-pt"
"83","il accepte","accepter","present",NA,"p3","singular","masculin","action","indicative","il_aksEpt","ilaksEpt","i-lak-sE-pt"
"84","elle accepte","accepter","present",NA,"p3","singular","feminin","action","indicative","El_aksEpt","ElaksEpt","E-lak-sE-pt"
"85","nous acceptons","accepter","present",NA,"p1","plural","common","action","indicative","nus_aksEpt§","nusaksEpt§","nu-sak-sEp-t§"
"86","vous acceptez","accepter","present",NA,"p2","plural","common","action","indicative","vus_aksEpte","vusaksEpte","vu-sak-sEp-te"
"87","ils acceptent","accepter","present",NA,"p3","plural","masculin","action","indicative","ils_aksEpt","ilsaksEpt","il-sak-sE-pt"
"88","elles acceptent","accepter","present",NA,"p3","plural","feminin","action","indicative","Els_aksEpt","ElsaksEpt","El-sak-sE-pt"
"89","j'acceptais","accepter","past","imperfective","p1","singular","common","action","indicative","Z_aksEptE","ZaksEptE","Zak-sEp-tE"
"90","tu acceptais","accepter","past","imperfective","p2","singular","common","action","indicative","ty_aksEptE","tyaksEptE","ty-ak-sEp-tE"
"91","il acceptait","accepter","past","imperfective","p3","singular","masculin","action","indicative","il_aksEptE","ilaksEptE","i-lak-sEp-tE"
"92","elle acceptait","accepter","past","imperfective","p3","singular","feminin","action","indicative","El_aksEptE","ElaksEptE","E-lak-sEp-tE"
"93","nous acceptions","accepter","past","imperfective","p1","plural","common","action","indicative","nus_aksEptj§","nusaksEptj§","nu-sak-sEp-tj§"
"94","vous acceptiez","accepter","past","imperfective","p2","plural","common","action","indicative","vus_aksEptje","vusaksEptje","vu-sak-sEp-tje"
"95","ils acceptaient","accepter","past","imperfective","p3","plural","masculin","action","indicative","ils_aksEptE","ilsaksEptE","il-sak-sEp-tE"
"96","elles acceptaient","accepter","past","imperfective","p3","plural","feminin","action","indicative","Els_aksEptE","ElsaksEptE","El-sak-sEp-tE"
"97","j'acceptai","accepter","past","perfective","p1","singular","common","action","indicative","Z_aksEptE","ZaksEptE","Zak-sEp-tE"
"98","tu acceptas","accepter","past","perfective","p2","singular","common","action","indicative","ty_aksEpta","tyaksEpta","ty-ak-sEp-ta"
"99","il accepta","accepter","past","perfective","p3","singular","masculin","action","indicative","il_aksEpta","ilaksEpta","i-lak-sEp-ta"
"100","elle accepta","accepter","past","perfective","p3","singular","feminin","action","indicative","El_aksEpta","ElaksEpta","E-lak-sEp-ta"
"101","nous acceptâmes","accepter","past","perfective","p1","plural","common","action","indicative","nus_aksEptam","nusaksEptam","nu-sak-sEp-tam"
"102","vous acceptâtes","accepter","past","perfective","p2","plural","common","action","indicative","vus_aksEptat","vusaksEptat","vu-sak-sEp-tat"
"103","ils acceptèrent","accepter","past","perfective","p3","plural","masculin","action","indicative","ils_aksEptER","ilsaksEptER","il-sak-sEp-tER"
"104","elles acceptèrent","accepter","past","perfective","p3","plural","feminin","action","indicative","Els_aksEptER","ElsaksEptER","El-sak-sEp-tER"
"105","j'accepterai","accepter","futur",NA,"p1","singular","common","action","indicative","Z_aksEpt°RE","ZaksEpt°RE","Zak-sEp-t°-RE"
"106","tu accepteras","accepter","futur",NA,"p2","singular","common","action","indicative","ty_aksEpt°Ra","tyaksEpt°Ra","ty-ak-sEp-t°-Ra"
"107","il acceptera","accepter","futur",NA,"p3","singular","masculin","action","indicative","il_aksEpt°Ra","ilaksEpt°Ra","i-lak-sEp-t°-Ra"
"108","elle acceptera","accepter","futur",NA,"p3","singular","feminin","action","indicative","El_aksEpt°Ra","ElaksEpt°Ra","E-lak-sEp-t°-Ra"
"109","nous accepterons","accepter","futur",NA,"p1","plural","common","action","indicative","nus_aksEpt°R§","nusaksEpt°R§","nu-sak-sEp-t°-R§"
"110","vous accepterez","accepter","futur",NA,"p2","plural","common","action","indicative","vus_aksEpt°Re","vusaksEpt°Re","vu-sak-sEp-t°-Re"
"111","ils accepteront","accepter","futur",NA,"p3","plural","masculin","action","indicative","ils_aksEpt°R§","ilsaksEpt°R§","il-sak-sEp-t°-R§"
"112","elles accepteront","accepter","futur",NA,"p3","plural","feminin","action","indicative","Els_aksEpt°R§","ElsaksEpt°R§","El-sak-sEp-t°-R§"
"113","j'ai accepté","accepter","present","perfect","p1","singular","common","action","indicative","ZE_aksEpte","ZEaksEpte","ZE-ak-sEp-te"
"114","tu as accepté","accepter","present","perfect","p2","singular","common","action","indicative","tya_aksEpte","tyaaksEpte","ty-a-ak-sEp-te"
"115","il a accepté","accepter","present","perfect","p3","singular","masculin","action","indicative","ila_aksEpte","ilaaksEpte","i-la-ak-sEp-te"
"116","elle a accepté","accepter","present","perfect","p3","singular","feminin","action","indicative","Ela_aksEpte","ElaaksEpte","E-la-ak-sEp-te"
"117","nous avons accepté","accepter","present","perfect","p1","plural","common","action","indicative","nusav§_aksEpte","nusav§aksEpte","nu-sa-v§-ak-sEp-te"
"118","vous avez accepté","accepter","present","perfect","p2","plural","common","action","indicative","vusave_aksEpte","vusaveaksEpte","vu-sa-ve-ak-sEp-te"
"119","ils ont accepté","accepter","present","perfect","p3","plural","masculin","action","indicative","ils§_aksEpte","ils§aksEpte","il-s§-ak-sEp-te"
"120","elles ont accepté","accepter","present","perfect","p3","plural","feminin","action","indicative","Els§_aksEpte","Els§aksEpte","El-s§-ak-sEp-te"
"121","j'avais accepté","accepter","past","perfect","p1","singular","common","action","indicative","ZavE_aksEpte","ZavEaksEpte","Za-vE-ak-sEp-te"
"122","tu avais accepté","accepter","past","perfect","p2","singular","common","action","indicative","tyavE_aksEpte","tyavEaksEpte","ty-a-vE-ak-sEp-te"
"123","il avait accepté","accepter","past","perfect","p3","singular","masculin","action","indicative","ilavE_aksEpte","ilavEaksEpte","i-la-vE-ak-sEp-te"
"124","elle avait accepté","accepter","past","perfect","p3","singular","feminin","action","indicative","elavE_aksEpte","elavEaksEpte","e-la-vE-ak-sEp-te"
"125","nous avions accepté","accepter","past","perfect","p1","plural","common","action","indicative","nusavj§_aksEpte","nusavj§aksEpte","nu-sav-j§-ak-sEp-te"
"126","vous aviez accepté","accepter","past","perfect","p2","plural","common","action","indicative","vusavje_aksEpte","vusavjeaksEpte","vu-sav-je-ak-sEp-te"
"127","ils avaient accepté","accepter","past","perfect","p3","plural","masculin","action","indicative","ilsavE_aksEpte","ilsavEaksEpte","il-sa-vE-ak-sEp-te"
"128","elles avaient accepté","accepter","past","perfect","p3","plural","feminin","action","indicative","ElsavE_aksEpte","ElsavEaksEpte","El-sa-vE-ak-sEp-te"
"129","que j'accepte","accepter","present",NA,"p1","singular","common","action","subjunctive","k2-Z_aksEpt","k2ZaksEpt","k2-Zak-sE-pt"
"130","que tu acceptes","accepter","present",NA,"p2","singular","common","action","subjunctive","k2-ty_aksEpt","k2tyaksEpt","k2-ty-ak-sE-pt"
"131","qu'il accepte","accepter","present",NA,"p3","singular","masculin","action","subjunctive","kil_aksEpt","kilaksEpt","ki-lak-sE-pt"
"132","qu'elle accepte","accepter","present",NA,"p3","singular","feminin","action","subjunctive","kEl_aksEpt","kElaksEpt","kE-lak-sE-pt"
"133","que nous acceptions","accepter","present",NA,"p1","plural","common","action","subjunctive","k2-nus_aksEptj§","k2nusaksEptj§","k2-nu-sak-sEp-tj§"
"134","que vous acceptiez","accepter","present",NA,"p2","plural","common","action","subjunctive","k2-vus_aksEptje","k2vusaksEptje","k2-vu-sak-sEp-tje"
"135","qu'ils acceptent","accepter","present",NA,"p3","plural","masculin","action","subjunctive","kils_aksEpt","kilsaksEpt","kil-sak-sE-pt"
"136","qu'elles acceptent","accepter","present",NA,"p3","plural","feminin","action","subjunctive","kEls_aksEpt","kElsaksEpt","kEl-sak-sE-pt"
"137","que j'acceptasse","accepter","past","imperfective","p1","singular","common","action","subjunctive","k2-Z_aksEptas","k2ZaksEptas","k2-Zak-sEp-tas"
"138","que tu acceptasses","accepter","past","imperfective","p2","singular","common","action","subjunctive","k2-ty_aksEptas","k2tyaksEptas","k2-ty-ak-sEp-tas"
"139","qu'il acceptât","accepter","past","imperfective","p3","singular","masculin","action","subjunctive","kil_aksEpta","kilaksEpta","ki-lak-sEp-ta"
"140","qu'elle acceptât","accepter","past","imperfective","p3","singular","feminin","action","subjunctive","kEl_aksEpta","kElaksEpta","kE-lak-sEp-ta"
"141","que nous acceptassions","accepter","past","imperfective","p1","plural","common","action","subjunctive","k2-nus_aksEptas","k2nusaksEptas","k2-nu-sak-sEp-tas"
"142","que vous acceptassiez","accepter","past","imperfective","p2","plural","common","action","subjunctive","k2-vus_aksEptas","k2vusaksEptas","k2-vu-sak-sEp-tas"
"143","qu'ils acceptassent","accepter","past","imperfective","p3","plural","masculin","action","subjunctive","kils_aksEptas","kilsaksEptas","kil-sak-sEp-tas"
"144","qu'elles acceptassent","accepter","past","imperfective","p3","plural","feminin","action","subjunctive","kEls_aksEptas","kElsaksEptas","kEl-sak-sEp-tas"
"145","que j'aie accepté","accepter","past",NA,"p1","singular","common","action","subjunctive","k2-ZE_aksEpte","k2ZEaksEpte","k2-ZE-ak-sEp-te"
"146","que tu aies accepté","accepter","past",NA,"p2","singular","common","action","subjunctive","k2-ty-E_aksEpte","k2tyEaksEpte","k2-ty-E-ak-sEp-te"
"147","qu'il ait accepté","accepter","past",NA,"p3","singular","masculin","action","subjunctive","kilE_aksEpte","kilEaksEpte","ki-lE-ak-sEp-te"
"148","qu'elle ait accepté","accepter","past",NA,"p3","singular","feminin","action","subjunctive","kelE_aksEpte","kelEaksEpte","ke-lE-ak-sEp-te"
"149","que nous ayons accepté","accepter","past",NA,"p1","plural","common","action","subjunctive","k2-nusEj§_aksEpte","k2nusEj§aksEpte","k2-nu-sE-j§-ak-sEp-te"
"150","que vous ayez accepté","accepter","past",NA,"p2","plural","common","action","subjunctive","k2-vusEje_aksEpte","k2vusEjeaksEpte","k2-vu-sE-je-ak-sEp-te"
"151","qu'ils aient accepté","accepter","past",NA,"p3","plural","masculin","action","subjunctive","kilsE_aksEpte","kilsEaksEpte","kil-sE-ak-sEp-te"
"152","qu'elles aient accepté","accepter","past",NA,"p3","plural","feminin","action","subjunctive","kElsE_aksEpte","kElsEaksEpte","kEl-sE-ak-sEp-te"
"153","que j'eusse accepté","accepter","past","perfect","p1","singular","common","action","subjunctive","k2-Zys_aksEpte","k2ZysaksEpte","k2-Zy-sak-sEp-te"
"154","que tu eusses accepté","accepter","past","perfect","p2","singular","common","action","subjunctive","k2-ty-ys_aksEpte","k2tyysaksEpte","k2-ty-y-sak-sEp-te"
"155","qu'il eût accepté","accepter","past","perfect","p3","singular","masculin","action","subjunctive","kily_aksEpte","kilyaksEpte","ki-ly-ak-sEp-te"
"156","qu'elle eût accepté","accepter","past","perfect","p3","singular","feminin","action","subjunctive","kEly_aksEpte","kElyaksEpte","kE-ly-ak-sEp-te"
"157","que nous eussions accepté","accepter","past","perfect","p1","plural","common","action","subjunctive","k2-nusysj§_aksEpte","k2nusysj§aksEpte","k2-nu-sys-j§-ak-sEp-te"
"158","que vous eussiez accepté","accepter","past","perfect","p2","plural","common","action","subjunctive","k2-vusysje_aksEpte","k2vusysjeaksEpte","k2-vu-sys-je-ak-sEp-te"
"159","qu'ils eussent accepté","accepter","past","perfect","p3","plural","masculin","action","subjunctive","kilsys_aksEpte","kilsysaksEpte","kil-sy-sak-sEp-te"
"160","qu'elles eussent accepté","accepter","past","perfect","p3","plural","feminin","action","subjunctive","kElsys_aksEpte","kElsysaksEpte","kEl-sy-sak-sEp-te"
"161","j'accompagne","accompagner","present",NA,"p1","singular","common","action","indicative","Z_ak§paN","Zak§paN","Za-k§-paN"
"162","tu accompagnes","accompagner","present",NA,"p2","singular","common","action","indicative","ty_ak§paN","tyak§paN","ty-a-k§-paN"
"163","il accompagne","accompagner","present",NA,"p3","singular","masculin","action","indicative","il_ak§paN","ilak§paN","i-la-k§-paN"
"164","elle accompagne","accompagner","present",NA,"p3","singular","feminin","action","indicative","El_ak§paN","Elak§paN","E-la-k§-paN"
"165","nous accompagnons","accompagner","present",NA,"p1","plural","common","action","indicative","nus_ak§paN§","nusak§paN§","nu-sa-k§-pa-N§"
"166","vous accompagnez","accompagner","present",NA,"p2","plural","common","action","indicative","vus_ak§paNe","vusak§paNe","vu-sa-k§-pa-Ne"
"167","ils accompagnent","accompagner","present",NA,"p3","plural","masculin","action","indicative","ils_ak§paN","ilsak§paN","il-sa-k§-paN"
"168","elles accompagnent","accompagner","present",NA,"p3","plural","feminin","action","indicative","Els_ak§paN","Elsak§paN","El-sa-k§-paN"
"169","j'accompagnais","accompagner","past","imperfective","p1","singular","common","action","indicative","Z_ak§paNE","Zak§paNE","Za-k§-pa-NE"
"170","tu accompagnais","accompagner","past","imperfective","p2","singular","common","action","indicative","ty_ak§paNE","tyak§paNE","ty-a-k§-pa-NE"
"171","il accompagnait","accompagner","past","imperfective","p3","singular","masculin","action","indicative","il_ak§paNE","ilak§paNE","i-la-k§-pa-NE"
"172","elle accompagnait","accompagner","past","imperfective","p3","singular","feminin","action","indicative","El_ak§paNE","Elak§paNE","E-la-k§-pa-NE"
"173","nous accompagnions","accompagner","past","imperfective","p1","plural","common","action","indicative","nus_ak§paN§","nusak§paN§","nu-sa-k§-pa-N§"
"174","vous accompagniez","accompagner","past","imperfective","p2","plural","common","action","indicative","vus_ak§paNe","vusak§paNe","vu-sa-k§-pa-Ne"
"175","ils accompagnaient","accompagner","past","imperfective","p3","plural","masculin","action","indicative","ils_ak§paNE","ilsak§paNE","il-sa-k§-pa-NE"
"176","elles accompagnaient","accompagner","past","imperfective","p3","plural","feminin","action","indicative","Els_ak§paNE","Elsak§paNE","El-sa-k§-pa-NE"
"177","j'accompagnai","accompagner","past","perfective","p1","singular","common","action","indicative","Z_ak§paNE","Zak§paNE","Za-k§-pa-NE"
"178","tu accompagnas","accompagner","past","perfective","p2","singular","common","action","indicative","ty_ak§paNa","tyak§paNa","ty-a-k§-pa-Na"
"179","il accompagna","accompagner","past","perfective","p3","singular","masculin","action","indicative","il_ak§paNa","ilak§paNa","i-la-k§-pa-Na"
"180","elle accompagna","accompagner","past","perfective","p3","singular","feminin","action","indicative","El_ak§paNa","Elak§paNa","E-la-k§-pa-Na"
"181","nous accompagnâmes","accompagner","past","perfective","p1","plural","common","action","indicative","nus_ak§paNam","nusak§paNam","nu-sa-k§-pa-Nam"
"182","vous accompagnâtes","accompagner","past","perfective","p2","plural","common","action","indicative","vus_ak§paNat","vusak§paNat","vu-sa-k§-pa-Nat"
"183","ils accompagnèrent","accompagner","past","perfective","p3","plural","masculin","action","indicative","ils_ak§paNER","ilsak§paNER","il-sa-k§-pa-NER"
"184","elles accompagnèrent","accompagner","past","perfective","p3","plural","feminin","action","indicative","Els_ak§paNER","Elsak§paNER","El-sa-k§-pa-NER"
"185","j'accompagnerai","accompagner","futur",NA,"p1","singular","common","action","indicative","Z_ak§paN°RE","Zak§paN°RE","Za-k§-pa-N°-RE"
"186","tu accompagneras","accompagner","futur",NA,"p2","singular","common","action","indicative","ty_ak§paN°Ra","tyak§paN°Ra","ty-a-k§-pa-N°-Ra"
"187","il accompagnera","accompagner","futur",NA,"p3","singular","masculin","action","indicative","il_ak§paN°Ra","ilak§paN°Ra","i-la-k§-pa-N°-Ra"
"188","elle accompagnera","accompagner","futur",NA,"p3","singular","feminin","action","indicative","El_ak§paN°Ra","Elak§paN°Ra","E-la-k§-pa-N°-Ra"
